DATE,PLAYER,TEAM,PTS,REB,AST,STL,BLK,RES,LOC,VS
2025-12-25,Nikola Jokić,DEN,56,16,15,0,2,W,HOME,MIN
2025-12-23,Josh Giddey,CHI,19,11,15,0,0,W,AWAY,ATL
2025-12-22,Nikola Jokić,DEN,14,13,13,2,3,W,HOME,UTA
2025-12-20,Cade Cunningham,DET,22,10,10,2,0,W,HOME,CHA
2025-12-18,Paolo Banchero,ORL,26,16,10,1,0,L,AWAY,DEN
2025-12-18,Luka Dončić,LAL,45,11,14,5,0,W,AWAY,UTA
2025-12-18,Nikola Jokić,DEN,23,11,13,2,0,W,HOME,ORL
2025-12-17,Josh Giddey,CHI,23,11,11,2,1,L,HOME,CLE
2025-12-15,Alperen Sengun,HOU,33,10,10,2,1,L,AWAY,DEN
2025-12-15,Nikola Jokić,DEN,39,15,10,2,1,W,HOME,HOU
2025-12-14,Jalen Johnson,ATL,12,10,12,1,1,W,HOME,PHI
2025-12-12,Jalen Johnson,ATL,19,11,12,2,0,L,AWAY,DET
2025-12-11,Kevin Porter Jr.,MIL,18,10,13,1,0,W,HOME,BOS
2025-12-08,Russell Westbrook,SAC,24,12,14,2,1,L,AWAY,IND
2025-12-08,Derik Queen,NOP,33,10,10,0,3,L,HOME,SAS
2025-12-07,Luka Dončić,LAL,31,15,11,0,2,W,AWAY,PHI
2025-12-06,Nic Claxton,BKN,14,11,10,0,3,W,HOME,NOP
2025-12-06,Jalen Johnson,ATL,30,12,12,2,0,W,AWAY,WAS
2025-12-05,Jalen Johnson,ATL,21,18,16,2,0,L,HOME,DEN
2025-12-03,Josh Giddey,CHI,28,11,11,0,0,L,HOME,BKN
2025-12-01,Nikola Jokić,DEN,29,20,13,1,2,L,HOME,DAL
2025-11-30,Jaylen Brown,BOS,19,12,11,1,0,W,AWAY,CLE
2025-11-30,Deni Avdija,POR,31,19,10,1,0,L,HOME,OKC
2025-11-28,Cade Cunningham,DET,39,13,11,0,0,L,HOME,ORL
2025-11-28,Jalen Johnson,ATL,29,12,12,2,0,W,HOME,CLE
2025-11-28,Russell Westbrook,SAC,16,12,14,4,0,L,AWAY,UTA
2025-11-24,Nikola Jokić,DEN,17,10,16,2,0,W,AWAY,MEM
2025-11-22,Josh Giddey,CHI,18,12,11,3,1,W,HOME,WAS
2025-11-21,Nic Claxton,BKN,18,11,12,1,1,W,AWAY,BOS
2025-11-19,Nikola Jokić,DEN,28,11,12,0,0,W,AWAY,NOP
2025-11-19,Deni Avdija,POR,32,11,11,2,1,L,HOME,CHI
2025-11-17,Nikola Jokić,DEN,36,18,13,1,2,L,HOME,CHI
2025-11-16,Josh Giddey,CHI,26,13,13,2,2,L,AWAY,UTA
2025-11-15,Nikola Jokić,DEN,27,12,11,2,1,W,AWAY,MIN
2025-11-14,Russell Westbrook,SAC,13,10,14,0,0,L,AWAY,MIN
2025-11-14,James Harden,LAC,41,14,11,1,2,W,AWAY,DAL
2025-11-14,Josh Hart,NYK,12,11,10,1,0,W,HOME,MIA
2025-11-13,Jalen Johnson,ATL,31,18,14,7,0,W,AWAY,UTA
2025-11-12,Victor Wembanyama,SAS,31,15,10,0,1,L,HOME,GSW
2025-11-12,Stephon Castle,SAS,23,10,10,0,0,L,HOME,GSW
2025-11-10,Cade Cunningham,DET,46,12,11,5,2,W,HOME,WAS
2025-11-10,James Harden,LAC,35,10,11,0,2,L,HOME,ATL
2025-11-08,Trendon Watford,PHI,20,17,10,0,1,W,HOME,TOR
2025-11-08,Nikola Jokić,DEN,32,14,14,1,0,W,HOME,IND
2025-11-07,Julius Randle,MIN,19,10,12,1,0,W,HOME,UTA
2025-11-05,Nikola Jokić,DEN,33,15,16,3,0,W,HOME,MIA
2025-11-05,Russell Westbrook,SAC,23,16,10,1,0,W,HOME,GSW
2025-11-04,Josh Giddey,CHI,29,15,12,1,0,W,HOME,PHI
2025-11-03,Julius Randle,MIN,19,11,10,2,0,W,AWAY,BKN
2025-11-02,Luka Dončić,LAL,29,11,10,3,0,W,HOME,MIA
2025-11-02,Josh Giddey,CHI,23,11,12,2,0,L,AWAY,NYK
2025-10-29,Nikola Jokić,DEN,21,12,10,2,0,W,HOME,NOP
2025-10-27,Nikola Jokić,DEN,25,19,10,2,1,W,AWAY,MIN
2025-10-26,LaMelo Ball,CHA,38,13,13,3,0,W,AWAY,WAS
2025-10-25,Nikola Jokić,DEN,14,14,15,3,0,W,HOME,PHX
2025-10-23,Nikola Jokić,DEN,21,13,10,1,1,L,AWAY,GSW
